KS|kickstarter
centaur artwork|off the chain... its classic ballys 80s..
but price|key
but even centaur|as basic as u can get
Genie|a classic if you like old clunkers
Genie|a bit old for my taste I think
bags centaur|beautiful
Anything|available unless you're in the wrong zone.
My zone|always right.  It's all others who are wrong
LotR|cheap unless mint
Avatar|semi decent
xenon|too old bags its classic bally but u will bore of it too quick
Star Gate|better than most WMS
ripleys|a nice game
Although nothing|really original. Most is taken from 1976 sesame street pinball
How likely|it that most people tasted less than 10 units of the national dish in 35 years, a dish heavely marketed on Tv.
The base|alot larger than the steady numbers because everyone has a higher chance of tasting something new to them
The factory|running 24/7
4.6b|"more than 460 million" :)
so that|about all I know
JJP|doing a twitter giveaway
"1 mph|around 1.5 feet per second. So at 15mph you're at 22 ft/sec. Figure the length of the pf at 4 ft, and you can cover the entire length in 0.2 seconds. It feels faster because it's such a small surface."
fish tales|a superb game
FT|a lot of fun
shrek|coolish but i kinda wish there was another ramp 
demoman|a ramp-fest
unless that toy|the medieval castle
medieval|dull for tournament play
the video mode|abit too much points in afraid 
football|their thing
the T2 one|just bizarre
product|still sold, so not stopped - good to hear
whitewater|a must own
and this|aleady oit
Your 't' key|broken.
the lever|gone!!!
the show|declining in popularity quickly too
guess red matter|now yellow matter  
the net result|the same: of those 16 players, 8 live, 8 get to come back next year
viewership|the motivator
ya time|the constant factor
talking|up there though...
winning|impossilbe :D
PAPA|worth mon off... dunno about flipout, esp since the place is a ghost town after 2p
If Hobbit|shipping by EXPO then I'll go.   That's the determining factor :)
if stern|smart,  insert laugh, they'd wait till after LE's have sold
Pro|best
what the hell|issac binding? you seem to play that or dawn does
and free|a great price
yes that|a great site for that type of vehicle
and this|how you fix it : http://www.litz.org/pics/2011_06150004_1024.jpg
Lawlor|a good 3rd or 4th, but he has nothing to stand up to MB or AfM
legal|a scheme too :p Making something legal doesn't make it legal.
High scorelist|Jarre
the link|meaninglrss
so|the ifpa submission :D
the details|what wr are reading
nah once ay pbl|enough lol
round of 128|still qualifying
if round of 128|run like NCAA good luck
I heard Shepard|spear heading that part :)
matchplay.events|awesome
sky|sups
so when|woz comingggg 
Life|but a game
My part|done, when next we meet we will be enemies once again.
Most of the feel|from having proper buttons
Next|mechanical action and vibrations
TPA|awful at best.
Location|nice for testing stuff, for regular play, no way
The appeal|lost on me
state|divided up
OH i believe|Evan Bingham
KY I think|back to Fugate, I believe the plan is Zanzabar
If it|out it is leaked
If it|out its by someone unserious that stole others work and leaked
Stuzz: My part|done, when next we meet we will be enemies once again.
Soundtrack|suitably crazy
Heh.  Mild|good.
This weekend|biting cold.
lospat: This|the musical bible. First Goa compilation to be released in 1993. Good year that one :p
To me this|a religious experience.
Deadpool|scary :S
facebook|always up, just manually skip the load balancing on their server
The Krona|down again
dead flip|playing got on twitch
nothing|gonna fix shitty artwork
the art|bad, but lots of good games have bad art
stream|dead jim
Pro|best
stream|back up
The music|getting annoying on GoT
But this|old footage now.
Dragon|twitching like mad in the stream, having a seisure.
thing|22 years later and new pins still dont blow them out the water
freeman|making space for GoT now
problem|they are too small to produce enough frequency 
there sure|differnces 
the side-by-side|amazing
Hey guys! Time|coming close.  Looking for volunteers again. This year we will have a registration desk so if anyone prefers doing that instead of score keeping let me know.  We are also taking more people in the main division and starting finals on  Saturday morning so may need less overall people and the only score keeping on Saturday will be in Classics.
i hear encore|3 parts so yea, could use it there some
problem|with taf is everyone wants it
MM|supposedly the king of earnings
look at who|saying that
woz|far on the horizon cause i need to make big bank to even attempt one
shrek|a famous brand too
and the machine|in perfect shape... has color display also... leds the works
see here|the problem
lol thing|those people just come to play whatever spor they are and then leave
the arcade game|the bait
  that|how you measure your little p
big buck hunter|not a bad game to play 
My best so far|17/30 or so...  I'm getting higher each time
yes|a tough one
twd pro|paletable
$15|the going rate though
Bags|our channel curmudgeon. the only flipping he does is with his middle fingers :-P
and philly|closer than jfk to jjp whq
though ewr|closest
so there|obvious tension 
EPC|here! Lyman is here! Unfortunately the game is still on 110V/60Hz and we need an update for this, because we are 220V/50Hz. Gary Stern is on the plane to help us resolve this. The stream will be delayed until we have this fixed tomorrow. Sorry for this, but we will keep you updated.
goal|to eventually line that up
rarity|the kicker
stern|the only company that's managing actual mass production though
spooky|essentially hand assembling one game at a time
JJP|essentially hand assembling small batches, maybe a dozen, at a time.
the R&D|the same
factory labor|going down due to roboticization
the R&D|around the world, as are the suppliers, and now,  the plants
JJP|pretty much the only "collect deposits in advance" manufacturer that has actually produced product.
  this|back, when Jack was the number one distributor,
WMS brand|still used
so that|why the share the same trademark script
sc|safecracker
Jake|hilarious in everything he does, so I have high hopes
guessing rob|looking it over in private :)
Thought|was 84 or 85
excuse|that it's my birthday weekend, so I might stay where I am and hang around with my mates
35|half dead
expo|Pinball event in chicago that all the pinball industry hub knobs attend
gravitar|I Bo-Lieve!!
The !tell thing|semi useful but it's not stable enough at the moment
keefer|not in the tidbit database.  Also something about recursion
noone|not a word.  It's *No* *One*
java|so yesteryear
javascript|Like a bike with the training wheels, except there is no bike, just training wheels
now that|a unique machine!
they're goal|selling premium remixed audio for games
the owner|providing the software (and in essence, the license)
hobbit|How many coins does it take to play the new "Hobbit" pinball machine?       It doesn't, it takes Tolkiens.
JJP|an EVIL PINBALL-PATENTING ORGANIZATION
that work|stolen when another person copies the end product
well my stance|that IP is garbage, so it all falls under that!
my POV|the layman's POV
the tickets|an evolution
all you do|annoy people
The thing that|weird, is in manuals for pins going back at least to the 80s.. they mention hooking up redeption stuff to the knocker..
stern|more than happy to keep producing 6000 lunchboxes because people keep buying them
but it|giving a custom reward for an achievement... hehe..  
WWE skillshot|hitting the power switch
WWE Special|switching it off
Are|a Swede..
pinside|PinJETZT
Wilma|hotter than Betty
O_o|What's wrong with your faaaaaaace
ISIS|IS is?  IS!
br|Black Rose
br|Banzai Run
she|a solitary entry in tidbots vast and ever growing database
All mine does|hangman
drunk history|https://pinside.com/pinball/forum/topic/roger-sharpe-story-on-drunk-history
JeremySm: That|stressfull. A good game on LoTR takes like one hour, starts to feel like work. Perhaps I am old and tired, but I prefer 3-5 minutes game like S11.
The feeder flap|the easiest
My Whirlwind|malfunctioning. It kicks out the ball when I shoot the lock :/
My guess|that something in the precompiled curl lib I am using is fucked, but meh
that design|unique in that it has an UP coil, with a ledge to hold the ramp up, and a knockdown coil, to lower the ramp
pinball|fun!
Play|the easy part.  Practicing I don't know how to do
title|wrong, though ... is an ex-TWA L1011 engine
(Whitewater|no better)
My goal|to beat Bowen
Wppr's|Most corruptive part of pinball
friday|explosion day so won't be around much to qualify
Classics|pretty good spread but no where near enough $ considering the entry $'s spent
European beer|the piss unless its from Belgium or Scotland.
wtf|mac
I think tidbot|high
world|saved!!!
That game|redicculously hard though.
O_O|Looking suprised there, you shouldn't be
O_o|Wonky testicles
O_o|like an eyebrow raised..  one eye bigger than the other
(_)__)|wonky testicles
bhz|the testicles expert
gauntlet|a great game if you can get a few peoiple playing it
A friend of mine|pretty dope at it but it doesn't really spark an interest in me
Then pinball|a better formula. 3 balls per credit, have fun.
my friend|20 minutes from your home in cape town.  would you DJ his party for free? just 3 hours.  it will be good exposure for you.
all i need|simple good quality photos close up of a dr who so i can make vectors... 
(said plow|inch thick steel.  Didn't even scratch the paint)
My Thinkpad T420|very close to the Optiplex as well. 
Noise floor|a bit more pronounced too.
space shuttle|older than pinbot
Jackbot|weird
bride of pinbot|my favorite from the pinbot line, although doctor who plays similiarly to the pinbots as well
Cancer|back :(
Dr Who|kind of underrated.  Had one for awhile and I liked it
lock|super annoying
is|is
to be|or not to be
💩|poop
Summer|better than winter
no code|bug free :D
the best|watching people's faces when they first go on a factory tour, or watch a factory tour video ...
Mine|plankd
The scoring|laughable at best: say you have Ball 1 2,4 millions for fireballs, switches, modes and whatever, then you drain and baaam 8 million from bonus multiplier x lamp and REPLAY.
JPop|brilliant for detail artwork and  all that, but he should let some other dude do the layout.
SFX|missing though.
and pops|not importat
drwho|not a pull-slide game
Dr Who|the latest one I can think of that doesn't have the pull slide 
biggest problem|the sheer weight of today's playfields
BBBB|Bugs Bunny's Birthday Bash
HD|Harley Davidson (Bally)
DD|Dr Dude
the prop rod|different, though
HD|Harley Davidson (Bally)
bally HD|older
FS|Future Spa or Flintstones
your guess|good as ours
simple design|best 
CCharlie|Circus Charlie: Video game by Konami
that angle|shitty
where|litz when u need him
where|litz when u need him
Usually|banners for them at vpforums.org or what they call it.
Hole placement|off.
if notching|a foreign word, i could search that for you.  but it will cost you more.
Inglese|my first language.
of course bags|an amiga nut
everyone in here|always here
gravitar|the killer of all #pinball discussions.
vidoe|live,  a Sharpe is sighted
maybe Goosebumps|better.  i have no knowledge of the brand, but sounds like a book.
ya but this|ridley 
no game i have|worth not routing there is no high end shit here like medieval madness for instance
Golden E  |the dog
The main issue|programing them.
the "overwrap"|actually a 4 page insert, rather than just the front page
two data points|obviously a thin amonunt of data ...
my bet|the same thing as AF447 and AirAsia8501
stormline|in alabama now
Apple|much more likely to do that than MS ever will be.
now THAT|a water hazard
haha    that|a good one
Whirlwind|in great shape for its age, so it's a candidate
custom artwork|uber $$$ ... like 3k minimum order, and several hundred bucks not including the setup fee
nthsa|the bane of my current position
that one|just the extracted Fox feed from their mobile app
This post|1 year old.
the transfomer|out the game already
The extra balls|accessible, the player feels rewarded and puts in another coin.
same here which|crazy for november
kubota|more known for the small block diesels used in tractors, generators, etc.
freeman: This|the best Norwegian commercial ever. https://www.youtube.com/watch?v=NE62Uv2ZbYA
!sql this|a broken statement
The ipdbot|up and running again as well
Pioneer|the ODM for most of Ford's audio
Need|a subjective term
my truck|standard textbook double-din
the pioneer|a single, in a frame
I thought yours|single DIN
Levinson|a $4k upgrade
Dragon|quite the show ... this past show was my 20th as a volunteer.
dragoncon tv|fun
feedback|easy to get right : you want none.
ghost busters|a theme alot would want
pinball|hot right now too, esp. in the 18-49 market
El Camino|neither a great car, or a good truck
pinballinfo.com?|that the new pinside or the new rgp
A lot of it|"How the fuck does his wife allow this?"
<lospat> why|that i cant find much in terms of dr who shop job photos.
tidbot|broke, for that
Drop the ! from|and it'll get picked up
SQL|(pronounced "ess-que-el") stands for Structured Query Language. SQL is used to communicate with a database. According to ANSI (American National Standards Institute), it is the standard language for relational database management systems
game|pretty bare
at leas the pro|compared to earlier models
The Licensee|now underway to complete a master prototype Magic Girl�. An announcement will be made as to when this will be, however the goal is to have it ready in time to unveil at an upcoming show. From this point forward, information and progress will be provided by the Licensee as Zidware is no longer in control.
This group|currently in the process of negotiating with proven known quality manufacturers to get the games produced. As soon as this is contracted, purchasers will be notified and given a forecast of the timeline to complete development as well as release dates for final product. As it stands today, the anticipated timeframe until production of MG is approximately 2 years or sooner.
This plan|for you, the Pinheads that want something that is a true work of art, quality built that can be treasured for years to come. I have now found the right business team that is dedicated to try to get my work to the finish line and into production. Help me to help you get what you came to Zidware for�a pinball machine that you will be very proud of to have in your collection!
'cause no one|here
The hotel here|booking 200 I think and they will earn twice their yearly income in 1/4 the time.
The state|paying and the workers and next generations will pay.
pinball|an escape from the world 
The difference|too huge.
too many pins|not a problem
being married|such a normal thing most people tend to want
cause my life|about living it not about spending it with someone else . my dreams are my dreams to make them come true on my own
This location|new so I don't know if there are pictures.
the key thing|... don't be afraid if it needs a little work
that smaug one|dope
bram stoker's|also in that age range
as|T2
FT|a lot of fun
but the theme|so creepy to me
Dracula|fun.  It's kinda loud, but fun
No game|worth 40K.
that colorDMD|really, truly, OMG looking
tz gumballs|the only thing I've done on that one
that thing|insane
Xenon|a system 35 game.  there are probably 10 other system 35 games I like better.
Xenon|about as fun as Cypernaut, Fireball II, or Vikings
Xenon|more about the looks and sounds
playing pinball|hard :D
yes there|a cheap-ass version of it
the best stuff|ground super super super fine, so it mixes very well
BP|$26ea
yep.  this|the ime of year, where I am jealous of you.
rubber|the weak link
the stuff i use|almost like plastic
the bounce|still fine
Georgia|a more humid climate so it probably helps
that split|too much
Location|a major factor
And no game|$15,000 fun.
rudy|dead
whole title| "Cosmic Gang the Video"
door here|steel framed .. you'd had to be pretty damned good to kick it in.
(door|metal, too)
didnt slip|the biggie
CA|bumping it another 12 cents
the 50% part|Personal injury :(
The phrase|longer but tidbot was stingy to 30 characters
The phrase|From the trough to the outhole within sixty seconds
30 seconds|a falsehood
AFM|alot nicer than MM
AFM|just solid action all the way
MM|a lot of fujn
The best in AFM|how you lite Stroke of Luck vs Merlin in MM
TZ|due for new rubbers
FH|still in pretty good shape
SC|getting redone onto the proto pf
Sweeping|awsome
but clay|legend we know this
Lee|clearly a genius!
timeshock|afm-ish
my ebd backglass|in pretty decent shape http://i.imgur.com/Sbyno2y.jpg
but george|cool guy 
pinball|expensive both to buy and maintain
like this dr who|a project and a half... rust galore
well here|what i did tonight in terms of collecting
lospat|an operator
half the gi|out
doctor who|turning in a nightmare
Lospat|NOT a sailor, never been onboard a ship.
 the storm|coming, return to your homes  http://www.cgmusic.net/archives/whirlwind2.m3u
bad cats|a really bad game
the theme|admittedly kinda cute
yeah the layout|not the problem
whirlwind|quite fun and earthshaker is pretty good too
radical|ok
and high speed|good
machine|a good looking game
sc|a novelty game surely
Dobby|freeee!
JJP|the best boutique pinball company
goT LE|at "The Arcade" now       gotta go play it
GOT|a show about incest, a jester, the mother-of-dragons, and The Needle
all|fun
Chicago|one hour back
funny thing|I hadn't used the card in about a month so was surprised
No it|usually physical.
well yeah there|that
lawlor|lead designer for game #3
another guy|pretty darn good at the sterns, but struggles on WMS/Bally and old stuff
GoT  Winter|Coming Mball is HUGE HUGE points.
refund cashback|teared
(which|how the railcar gets on and off the trailer)
|freeman|breaking the Internet.
+i|meaningless
stern|machine code eventually completed on lyman projects, all others take your chances
now that|code worthy bhz
well the worst|probably that not a single one of them can be turned on right now
but thing|freeman u already have all the top games
so there|that
now|the wrong time to buy
the scared stiff|abit much
but this|1999. 2k back then was surely alot more than now
someone|bored, I see
the one at R1|dead right now too
My TZ|getting cleaned and re-rubbered this weekend I think
|freeman|attempting to destroy the Internet as usual.
that dink|possibly, bouce off target
This one|an RX-701V
DRA|probably full on drugs so not sure about him :p
HP Sauce|pretty good
and the plains|a whole lot of empty
vid|around somewhere
That one|pretty early 94 so perhaps sometimes mid 93.
my office|like a block away so I'll be dropping in on mail runs at least 
distance|def a factor
l257|on my way home, vaguely.  I should be able to spend a couple nights there
This 3 min part|pretty intense on LSD or mushrooms. https://youtu.be/AcOBDyXRieE?t=1h53m54s
Bally|Compys bot, you dunderheid
alabama|like a caterpillar D7 ... not much stands in their way
lospat|of the strong silent type.
keef - this|gottlieb software, all bets are off
and bama|3 and out
This board|really something...
NTE2987|also the generic
the route|on
ok  here it|in parts.
- Intention|to put out 3 titles a year, to take advantage of the swappable mechanic of their cabinet. Vast majority of underlying components are modular, so design to production should be pretty swift. Could have as many as 8 titles out by end of 2017. - Seems pretty bullish generally about their prospects, Alien, and thinks Barry Oursler is great & considers him a legend** Pleasant guy to talk to. Would have asked far more, 
of course always|at this time
DM|a ramp fast, and the claw sucks up pf space
|freeman: TZ|pretty open
80% of pf|not occupied
80%|open
Ön TAF only 20%|open
PLayfield|not % of occupied space, it is the % of angle you can shoot lone balls without blockage
TZ|completely open except approx 15% on left side and 5% on right side
This PF|closed. http://mirror2.ipdb.org/images/20/Playfield.jpg  Everything is closed except a 30 degree gap to the right.
TZ|not entirely open, you can hardly shoot the left spiral from the left flipper.
TAF|also not a widebody
Buy in game|ST:TNG and RaTRS
(or|that 120)
My brain|too small to read and understand spreadsheets.
My point|that the current market is buoyed by the fact that 8-18yr old guys are now 30+ with disposable income
farfalla|beautiful, easily one of the more desirable Zaccs
Farfalla|best looking.
The soccer one|fucking dire
Scoccer|best 6 player game , possibily ever made
image search|interesting
i'd say that|a good guess
my collection|50% classics (if you count Hoops as a classic) :)
the rest|debatable
The display|cool. Layout looks like one of those lesser quality 90s software pins.
The game theme|rather bad for anyone but his family.   
the old one|almost 100% still good; it just has a blown diode
  there|a stretch in Canada, just over the border, along 401.
Todd|right,  while I could do 5 mph,  the dolts behind me will be rushing up on me
No.  100MA|1/10A
Monday|always super busy at work, but I'll do my best to get those all in today
no one|"""confirmed""" till game day.
saving face|important at that age.
yes|Tr
I think this|celeb #4 or #5 in the past two weeks
pinball|whacky
This receiver|still in good health.  Probably will be due for a re-cap in the next few years though
pinball land|the one you really, really really want to visit.
The shit|worth 249 at most and just short in supply.
i've heard that|a good decision
looking like MPE|a no go, still no updates
the area|hilly, and seems low.
SFGE|at honest-to-god class A exhibit hall space
Galleria|the #2 space in the city, behind the GWCC
the inside|air conditioned.  outside, it most definitely is not.
east coast|getting it back in spades though
ice|bad anywhere
Indy|a special game since the pf is open and everything else needs a clear hit.
Seems there|no story to be told, just money milking.
Star Wars|quite cool, but Lucas messed it up from the start making it a 6 hour story and putting the end from episode 6 in episode 4 and blowing up the Death Star twice.
re using brands|easy and lasy
what he|doing is neat.  but IFPA has done way more to draw in more peeps to play pinball
detroit|almost dead east  lol
Forbidden Planet|looking Purdy now!
and one of them|a Mr & Mrs PacMan (yuckkkk)
 game three| poo-poo-kittee
my Ford|in the shop, and then rental's a Chevy! THE HORROR
layout if leaked|true looks interesting at least
 Freddy|a god among singers, but I'm just not into a lit poster of him
supposedly|carrying loads of lumber and construction equipment
how big|a pinball again
(the answer|it's very complicated and costs a couple million bucks)
my guess|power lines go back to that pole, then over to the outbuilding.
lightning|dangerous stuff
The storm|coming...
free money|nice, but that shit ain't cool
no pinball|to far to play
doh papa|april
make sure magnet|lit first :)
and I'm sure one|starting up in Mbrew in a couple weeks
also weather|supposed to be ass tomorrow night
Your connection|not private  Attackers might be trying to steal your information from www.ifpapinball.com (for example, passwords, messages, or credit cards). NET::ERR_CERT_COMMON_NAME_INVALID
stupid chrome|saying all sorts of ssl certs aren't valid
john pederson|having another get together for anyone interested
Where|it!
I hear everyone|updating the dll, but it's not to be found.
generally gorgar|like between 10-20K for spinner
right fliper|dead now :/
What machine|this anyway
GB|Ghostbusters, idiot
GB|Gameboy aka the 6" plastic thing that you used to play with on the toilet
That link|dead already
pzyw: There|apparently a Total Recall proto hidden away in a colletion somwhere
unless a picture|literally illegal
rgp2|DEAD!!!!
rgp3|kickin though
I think there|one in CA also
one coil|original, the old one (which is working fine) doesn't have a diode
cross wiring|the #1 thing to avoid for sure
scott - this|universal
something|binding
2-3|prolly ok.. lower than 2 might stress transistor
someone|wrong
if the coil|getting hot and is deforming the coil and sleeve, that needs to be fixed or the new sleeve will get damaged.
then when it all|cleaned, it starts sticking again
yea that art|poor
I'm thinking it|still in delayed status
Twitter|plumetting
Brazil|called corruptland now
#HOCKEY|back!!
The Lizard Man|cool, especially the accent.
and my seen code|shonky as fuck
our rule|that if you miss finals, you move below the finishing position of the people that showed up for finals
Pinball|too random. Make it less random and 1 ball per game.
Top 5|Grand Champion + 1-4
<Lawlor> Pinball|too random. Make it less random and 1 ball per game.
that Sj guy|ok too.
money shot|the gumball machine w/the colored balls in it
talking tina|colored well
Think it|when you enable multiball
that video|going to skew colors, since it's a CMOS sensor camera shooting a LCD panel display
"BALL"|an AMBER lamp insert
machine|20 years old, c'mon. It have to have some scratches and problems. To me it makes it more challenging ;)
well this|channel #2 I've seen complaining about pinside being down, so I'd say you're in the right place ;)
Papa B|mini "A" now
my sos|in a strip mall
wow ... this|how close it was for Anthem of the Seas ... they burned out all 4 clutches on the left-hand propulsion motor while fighting the storm.
this one|as big and as tall as they come, and it apparently just survived not only a cat-5 hurricane, but if they had a cat-6, it would have measured that, too.
that fix|still in the game today.
that process|'logically' simple, but is difficult, and requires great care.
but that|another story all together.. lets just say surface mount sux
thing|i need to learn how to fix these things
but my view|this and it will always be this
nobody|born knowing how these things work... 
freeman there|no big marker het for pins
SF2|just meeeeeeeeeeeh
90|great
tosh|so awesome
and this|going to be for 2-3 *years*
my vote|tdk
chris hardwick|doing talking dead w/a tie his SO gave him ... with brains on it.
my problem|logic related
my notepad|overloading
Pinball|more popular there.
Gaming|so expensive now.
Freeman|all about humor
rbion|a great layout
estesno doubt|up to snuff now with how the system works
lospat|batman :p
batman|lospat
lock|lit mon
special|lit!
so clearly there|a problemo
see the thing|what most guys do and what im willing todo is not the same
well this one|low on this one pin...on the other semi working board the signal is high and low with pulsing
the volcano shot|still there,  hungy-hungry hippos is on the left side
cause most of it|just resistors and diodes
Music|like candy, you throw the rappers away
the guy surely|not just a normal design guy
luck|, being here in the US, and a 5 hour trip to Expo.
well the board|now showing text atleast
 this|Borg,  http://imgur.com/xGQBOHp  
Now there|not*
tidbot|like the fortune teller on that TZ episode.  if i dont follow his commands, bad things happen
Nordman|not the king of flow.
i hope this|it for this board
something|off
smartdmd|something that works and is cheap
POTC|a terrific machine, I had one of the best examples.  i just wanted the space, and the money to fund GOT
the layout|just well meh
Goal|12 machines back to back, about what i can fit in my home.
Coimputer|still broke, still writing from server :p
any ic that|connected to the ram should have a question mark on it... some people say hey its the ram, but its not always the case. i heard a story that if the ram goes it also can take out one of the ics. 
That game|waporware.
(which|why cash strapped ski resorts build them)
yea but rubbre|terrible
cause rubber|not the best matrial to use for such things
 lospat|brave.  he will remove surface mounts with a heat gun
now this|what u do
if a display|out gassed
not the same|replacing a surface mount chip
also this|to sell some pins hence my dilema
our currency|so fucked that its not even something to laugh about
where pinball|far and wide
me bet|haunted house theme
the risk|now transferred to pre-paid customers
that industry|idle
and as|usual, they don't report the millenials in their parents' basements who've given up on finding a job, either.
when everyone|selling, and no one is buying,    zoink.
question|... is that selling to buy new toys like new pins ... 
thanks that|all
trifurcon|a perm fix
Cold front|coming, line of severe stuff getting organized ahead of it
lospat: RGB-LED|win
man that|one ginormous chunk of orange and red radar return
wow|that even safe
freeman this|the next level of bs
my friend|getting a t2 tom
weather pattern|crazy.  it's like a circle
Since the screen|exposed you need a strong cout outside. Kind of impractical to have to make a plexicage to surround it.
this ice/slush|dangerous
AC|pretty much the norm now for locomotives ...
but AC|so much more effecient.  It just took 50+ years for them to manage to actually make it work.
no idea what|easy, bet I have less than 50plays on it
Stern|doing some live facebook thing
now the cpu|giving shit as in giving garbage
 time|money,   money is time
seems pinball|doing good there
damn why|every board on this game have to have a issue
my assumption|that stern will not let us in there
Stannis theme|quite good too
dude|genius
dude|smart
not sure why it|titles sound too
as in there|a small tump when u turn it on
then the logic|probably fine
yea this|party zone
well problem|i need to hook it up to the bench but i dont have ac voltages
you know the amp|good
RAM|not a logic chip.  It's storage.
analog circuity|completely different from digital.
audio board|new to me
because there|no replacement.
see if the CPU|stuck or if it's running.
     there|no honor among thieves   .
 Marvins|a lifetime of evolutin
 Ten Strike|ok.  gets repetitive too quick.
<freeman> here|a head-to-head shooter -- https://goo.gl/CeK2HJ
2nd one|much more forst person then the 1st pic
contact bowler|best 
  Flotilla|so big, you step inside to repair it.  http://imgur.com/IocnvVb
the basement|full of wonders
never|lospat
My Earthshaker|having sound issues but I think I have narrowed it to cold solder joints
scott - this|system11 ... no IDC
sounds like it|not the header.  
FIRQ|exactly that, FIRQ.  It's a signal.
dmd board|purely a reactive logic state machine.
(cmos|12vdc logic, ttl is 5vdc logic)
this shit|being a major major pain now
if nothing|actually communicating to that chip, there will be no data on FIRQ
pin 2|high with low pulses...
pin 2|high and low with pulses
pulse led|also moving alot faster on the none working board
and why|that
okay here|the diff im seeing
oscillator|not affected by any inputs 
DMD controller|a logic state machine.  This is a full blown microprocessor CPU.  Apples vs Oranges.
tough.  This|how you learn.
dude.  That|WHAT GOOGLE IS FUCKING USED FOR.
but this|something you *have to do* ... you gotta learn this stuff to move forward.
sonny anything|easy once u know how
yea but there|so much info that it kinda gets to u
(shrug) ... this|complicated stuff.
but this|another ball game
yea that|what i ve seen with the probe
the one side|low othe rhigh
my mind|melting
this tool|kinda cool 
the tube|REALLY nice so i want to fix it though, we'll see
Unless ARTMAN|being held hostage with no keyboard and his only method of communication is pulling out the ethernet plug and putting it back in
JD|OK at best
And my google|heavily pinball slanted
FS|ok
So my guess|that they are working on a separate 'display computer', a bit like the old days
I see Gerry|taking his P3 stuff out for show again
TBL|the commercial machine Gerry was referring to I think
BTW UK £|something like 1.8$ ATM
tearing|independent
ball race track|a large version of a getaway supercharger ...
iron|a bit big for tha board... not smd equipment
both|you count the EM
Old Tech|best.
New tech|for farters.
This internet|really no good
god slimer|ugly
huh.. |very green isn't it
But it|the last 12 hours
today's money|2x inflated from 2013? you might need some better investments
....which|what
For LE it|even worse
TZ|fine if it's fixed up right
yeah my TZ|rock solid, even if I ignore it for a month
TZ|like bicycling. You never forget. If the machine is working properly they are ez.
which to me|just plain O.O
The clear|aftermarket
mine|still the same clock assy that was on the game at the namco store.
I wonder if this|the avg production quality or just poor example. https://www.youtube.com/watch?v=vaMNzU_xm54&list=PLAssdv2pYixDV6EowuuO-0CNPY99bCiDq
what gets me|how stuff like that can get out the door ... there's absolutely not way a game got playtested on the line w/a lot of these mistakes
kr9: He|unboxing and fixing a machine for some customer.
If this|a business
my game|clean 
the gate|shown in the link
  Pro|the cost reduced model.
So the ball|just going to roll around, unhittable for a couple of seconds
actually radical|the only one I'm aware of that's actually done that
the other switch|at Staypuffs feet
My prediction|that the 'ghost slings' are going to be a pile of shit
that artwork|great and makes the pf seem like it has way more on it than it actually does
  there|no kicker
WoZ|pretty unique as the shots are all different than normal and the rules are plentiful.
renegade|too small for me
cherokee|nice
cherokee|damned capable, but it's too carlike by comparison
renegade|a slam dunk, though ... it's THE perfect teeny car for millenials
5B|a destroyed score 
jackbot|one of those games where you get in a groove you can just rack up ridicululous scores
jackbot|an all time favorite of mine
jackbot|more of the same
this proto PF|a pain ... turns out WMS simply assembled it and then never touched it.
litz yea socket|a no brainer.. any chip i replace i socket
pinball|bad 
my bet|the drop the whole things and swap 'em out.
fish tales|almost all music and some basic sound calls
iphone 4|not really something u can really say is high end
(and this|presuming you are NOT using fast blo fuses)
Russo|still alive and kicking hes got a spot in one of the malls down here now, all fancy.. with his $3500 SSTs and $2200 multicades
one in t2|ok i guess
worst|cv and tom ... but the cv one takes the cake
FT|on my want list.
The FT one|much more entertaining
My guess|the Feds laid down the "shut down and inspect or we'll shut you down" boom.
grav this|how the average pinball player plays surely
topper|siren setup like police force
ghostbusters|the second coming of christ
football|ridiculous
if anyone|curious, i'm 'staying the course'.  GOT for me.
GOT pro|the best flowing, but I wanted the upper pf
the prem artwork|pretty sweet
fan|siren, haha
burned GI pins|the #2 fix behind game resets
trifurcon|pretty much the bulletproof fix
nah this|for one thats going to be sold
I beleive this|what you want : http://www.molex.com/molex/products/listview.jsp?query=6838&path=cHome%23%23-1%23%23-1~~ncCRIMPTERMINALS%23%230%23%236&offset=0&autoNav=1&sType=s&filter=&fs=&channel=Products
this thing|reading like 5.9
BR2|easy ... you take the heat sink off, then just cut the legs
this cheapie|cheap i mean real cheap
+12 digital|derived from +18 for lamps
nah meter|all kinds of screwed up
yeah my RS meter|around that age too
NAMCO|as well, but they're a shadow of what they used to be ... they have some street route locations, and a new barcade concept type store in chicago
but sc|a kepper
Whirlwind|a lot of fun to play
taxi|on the want list
tz|the better game
TZ|like bad taf lospats
whitewater|a beter design for me if u compare it to say no fear in terms of how its layed out
and there|always one up the right side from the left flipper
Mine|a good machine.  It 'feels right'
getaway|spec'd for 629s too
The ramp|slightly damaged behind them
Entropy|owned by Happ, but apparently the 2-slot pinball doors are still made
I suspect this|old news, but I just tripper over it - https://missionpinball.com
pinball|a physical sport, have to be able to move the game to do well.
That's what|going to keep pinball alive when we are all pissing our pants in a nursing home
GB|the second coming
acdc pro|SHIT!!
the pro|simpler,  less complex
GB artwork|fantastic
1 great game|worth more than 20 bad ones
gary|a front man.  the Venture Capalist get the profits.  follow the money.
lol bags|python 2
how hard|it to just google it?  https://www.google.com/search?q=system+80+pinball+test+rom
marcos one|better cause it tests more things
